gene,pathway_id,pathway_name,pmids,source_url
CCNE1,R-XTR-6791312,TP53 Regulates Transcription of Cell Cycle Genes,,https://reactome.org/content/detail/R-XTR-6791312
AURKA,R-XTR-6791312,TP53 Regulates Transcription of Cell Cycle Genes,,https://reactome.org/content/detail/R-XTR-6791312
KRAS,R-CFA-1169092,Activation of RAS in B cells,,https://reactome.org/content/detail/R-CFA-1169092
PIK3CA,R-MMU-2172127,DAP12 interactions,,https://reactome.org/content/detail/R-MMU-2172127
KRAS,R-MMU-2172127,DAP12 interactions,,https://reactome.org/content/detail/R-MMU-2172127
PIK3CA,R-DRE-5654716,Downstream signaling of activated FGFR4,,https://reactome.org/content/detail/R-DRE-5654716
KRAS,R-DRE-5654716,Downstream signaling of activated FGFR4,,https://reactome.org/content/detail/R-DRE-5654716
PIK3CA,R-DRE-177929,Signaling by EGFR,,https://reactome.org/content/detail/R-DRE-177929
KRAS,R-DRE-177929,Signaling by EGFR,,https://reactome.org/content/detail/R-DRE-177929
CDK6,R-XTR-2559583,Cellular Senescence,,https://reactome.org/content/detail/R-XTR-2559583
CDK4,R-XTR-2559583,Cellular Senescence,,https://reactome.org/content/detail/R-XTR-2559583
CCNE1,R-XTR-2559583,Cellular Senescence,,https://reactome.org/content/detail/R-XTR-2559583
TP53,R-XTR-2559583,Cellular Senescence,,https://reactome.org/content/detail/R-XTR-2559583
WEE1,R-MMU-69481,G2/M Checkpoints,,https://reactome.org/content/detail/R-MMU-69481
ATM,R-MMU-69481,G2/M Checkpoints,,https://reactome.org/content/detail/R-MMU-69481
TP53,R-MMU-69481,G2/M Checkpoints,,https://reactome.org/content/detail/R-MMU-69481
ATR,R-MMU-69481,G2/M Checkpoints,,https://reactome.org/content/detail/R-MMU-69481
ATM,R-HSA-9664873,Pexophagy,27068951,https://reactome.org/content/detail/R-HSA-9664873
PIK3CA,R-HSA-198203,PI3K/AKT activation,12123609; 10579926,https://reactome.org/content/detail/R-HSA-198203
MYC,R-HSA-428359,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,11713986; 9891060; 16541107; 17652133; 15601260; 20371350,https://reactome.org/content/detail/R-HSA-428359
WEE1,R-MMU-69478,G2/M DNA replication checkpoint,,https://reactome.org/content/detail/R-MMU-69478
CCNE1,R-MMU-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,,https://reactome.org/content/detail/R-MMU-6804116
PTEN,R-XTR-8948747,Regulation of PTEN localization,,https://reactome.org/content/detail/R-XTR-8948747
EGFR,R-XTR-2179392,EGFR Transactivation by Gastrin,,https://reactome.org/content/detail/R-XTR-2179392
CCNE1,R-XTR-69200,Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,,https://reactome.org/content/detail/R-XTR-69200
CDK6,R-XTR-8934593,Regulation of RUNX1 Expression and Activity,,https://reactome.org/content/detail/R-XTR-8934593
WEE1,R-XTR-156711,Polo-like kinase mediated events,,https://reactome.org/content/detail/R-XTR-156711
PIK3CA,R-RNO-2172127,DAP12 interactions,,https://reactome.org/content/detail/R-RNO-2172127
KRAS,R-RNO-2172127,DAP12 interactions,,https://reactome.org/content/detail/R-RNO-2172127
MDM2,R-GGA-69541,Stabilization of p53,,https://reactome.org/content/detail/R-GGA-69541
ATM,R-GGA-69541,Stabilization of p53,,https://reactome.org/content/detail/R-GGA-69541
CHK1,R-GGA-5693607,Processing of DNA double-strand break ends,,https://reactome.org/content/detail/R-GGA-5693607
ATM,R-GGA-5693607,Processing of DNA double-strand break ends,,https://reactome.org/content/detail/R-GGA-5693607
ATR,R-GGA-5693607,Processing of DNA double-strand break ends,,https://reactome.org/content/detail/R-GGA-5693607
WEE1,R-BTA-69478,G2/M DNA replication checkpoint,,https://reactome.org/content/detail/R-BTA-69478
CCNE1,R-BTA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,,https://reactome.org/content/detail/R-BTA-6804116
EGFR,R-DME-212718,EGFR interacts with phospholipase C-gamma,,https://reactome.org/content/detail/R-DME-212718
CCNE1,R-RNO-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,,https://reactome.org/content/detail/R-RNO-6804116
